卡牌ID,卡牌类型,暴露度,子类,卡名,外星观测/场景描述,提问或归属,备注
C-G01-R,反应卡,黄,场景组1,💧 启动眼部排水系统（想哭、委屈、鼻子一酸）,代表雌性样本流泪委屈或鼻子一酸不一定当场哭可能是回头才哭。,先亮出此卡由妻子秘密选下方某个场景丈夫猜,妻子为样本·求抱系
C-G01-S1,场景卡,黄,场景组1,一个人扛,你忙了一整天读博家务还有那只狗没人问你一句累不累你突然就想哭。,属于反应卡【💧 启动眼部排水系统】,
C-G01-S2,场景卡,黄,场景组1,努力没被看见,你默默把家里收拾得干干净净他回来一句没提好像这一切本来就该是这样。,属于反应卡【💧 启动眼部排水系统】,理解陷阱·丈夫常以为是吵架其实是努力没被看见
C-G01-S3,场景卡,红,场景组1,想起妈妈的话,你妈又在电话里说了一句扎心的话挂了电话你坐在那儿半天没动。,属于反应卡【💧 启动眼部排水系统】,
C-G02-R,反应卡,黄,场景组2,🔥 启动对抗程序（来气、提高音量、不想忍了）,代表雌性样本发起正面对抗提高音量不再压着。,先亮出此卡由妻子秘密选下方某个场景丈夫猜,妻子为样本·炸毛系
C-G02-S1,场景卡,黄,场景组2,说了一百遍,同一件小事袜子外套马桶圈你已经说过无数次他还是照旧这一次你忍不住了。,属于反应卡【🔥 启动对抗程序】,
C-G02-S2,场景卡,黄,场景组2,敷衍的嗯,你在认真说一件事他眼睛盯着屏幕嘴里嗯嗯啊啊你知道他一个字没听进去。,属于反应卡【🔥 启动对抗程序】,理解陷阱·点燃她的常是被敷衍而非事情本身
C-G02-S3,场景卡,红,场景组2,被当透明,你情绪明明已经写在脸上他却完全没注意到照常做自己的事好像你不存在。,属于反应卡【🔥 启动对抗程序】,
C-G03-R,反应卡,黄,场景组3,😰 启动焦虑程序（睡不着、反复想、心里悬着）,代表雌性样本处于持续内心紧绷状态某件悬着的事让她无法放松。,先亮出此卡由妻子秘密选下方某个场景丈夫猜,妻子为样本·读博焦虑
C-G03-S1,场景卡,黄,场景组3,进度落后,同期的人都有进展你的实验或论文还卡着你开始怀疑是不是自己的问题。,属于反应卡【😰 启动焦虑程序】,
C-G03-S2,场景卡,黄,场景组3,导师一句话,导师不咸不淡的一句评价你反复琢磨到半夜越想越睡不着。,属于反应卡【😰 启动焦虑程序】,
C-G03-S3,场景卡,红,场景组3,看不到头,你不知道这一切什么时候才能结束毕业有个交代那种没有尽头的感觉最让你慌。,属于反应卡【😰 启动焦虑程序】,理解陷阱·不是怕辛苦是怕看不到头
C-G04-R,反应卡,绿,场景组4,🥹 启动被爱确认（心里一暖、被在乎到了）,代表雌性样本感到被珍视被在乎那种心里一暖的瞬间。,先亮出此卡由妻子秘密选下方某个场景丈夫猜,妻子为样本·正向
C-G04-S1,场景卡,绿,场景组4,记得我说过的,你随口提过一句想要或想吃的东西他居然记住了还真的给你弄来了。,属于反应卡【🥹 启动被爱确认】,
C-G04-S2,场景卡,绿,场景组4,替我挡了一下,在你妈或别人面前他不动声色地站到了你这边护住了你。,属于反应卡【🥹 启动被爱确认】,理解陷阱·让她最暖的常是被护住而非礼物
C-G04-S3,场景卡,黄,场景组4,默默做了,你累瘫在沙发上没开口他默默把你以为又要你做的活儿做了。,属于反应卡【🥹 启动被爱确认】,
C-G05-R,反应卡,绿,场景组5,😌 启动亲近意愿（放下防备、愿意靠近他）,代表雌性样本放下戒备愿意主动靠近这不是默认状态是被什么触发了。,先亮出此卡由妻子秘密选下方某个场景丈夫猜,妻子为样本·亲密向·温柔
C-G05-S1,场景卡,绿,场景组5,干净又从容,那天不赶时间洗得干干净净心里没挂着没做完的事你整个人是松的。,属于反应卡【😌 启动亲近意愿】,
C-G05-S2,场景卡,黄,场景组5,他先懂了我,他没有催而是先关心了你这一天你的情绪你感觉被当成人而不是任务。,属于反应卡【😌 启动亲近意愿】,理解陷阱·让她愿意靠近的前提常是先被理解而非氛围或技巧
C-G05-S3,场景卡,绿,场景组5,久违的玩心,难得两个人都没事都不累像谈恋爱时那样打打闹闹你忽然又想靠近他。,属于反应卡【😌 启动亲近意愿】,
C-G06-R,反应卡,黄,场景组6,🟡 启动回避程序（躲进游戏手机、装没事、不想谈）,代表雄性样本沉默退场把注意力转移到屏幕假装没事不想正面谈。,先亮出此卡由丈夫秘密选下方某个场景妻子猜,丈夫为样本·躲开系
C-G06-S1,场景卡,黄,场景组6,又要吵了,你预感到接下来是一场争论本能地把注意力转移到屏幕上假装没听见。,属于反应卡【🟡 启动回避程序】,理解陷阱·他躲不是不在乎是怕又吵起来
C-G06-S2,场景卡,黄,场景组6,不知道怎么接,她情绪很满你心里其实慌但不知道说什么才对于是干脆什么都不说。,属于反应卡【🟡 启动回避程序】,
C-G06-S3,场景卡,绿,场景组6,只想喘口气,没出什么事你就是累了只想一个人安静玩会儿游戏谁也别找你没有别的意思。,属于反应卡【🟡 启动回避程序】,
C-G07-R,反应卡,黄,场景组7,🙇 启动愧疚程序（心里过不去、知道自己做得不够）,代表雄性样本意识到自己亏欠了对方心里那道坎过不去。,先亮出此卡由丈夫秘密选下方某个场景妻子猜,丈夫为样本·向内归因
C-G07-S1,场景卡,黄,场景组7,又让她一个人,你加班或打游戏的时候想到她一个人忙里忙外还要等你心里咯噔一下。,属于反应卡【🙇 启动愧疚程序】,
C-G07-S2,场景卡,黄,场景组7,那句话说重了,吵架时你说了句过分的话她沉默了你其实当场就后悔了只是没拉下脸。,属于反应卡【🙇 启动愧疚程序】,理解陷阱·他常常当场就悔了只是说不出口
C-G07-S3,场景卡,红,场景组7,她哭的时候,看到她真的哭了你忽然意识到平时那些小事在她那里原来积了这么久。,属于反应卡【🙇 启动愧疚程序】,
C-G08-R,反应卡,绿,场景组8,😆 启动愉悦程序（特别放松、由衷开心）,代表雄性样本内心充盈有一种我做到了或这一刻真好的踏实满足。,先亮出此卡由丈夫秘密选下方某个场景妻子猜,丈夫为样本·正向
C-G08-S1,场景卡,绿,场景组8,修好了,家里坏了很久的东西被你三两下修好那种我搞定了的踏实感。,属于反应卡【😆 启动愉悦程序】,
C-G08-S2,场景卡,绿,场景组8,星空清澈,那晚天特别透你架好设备找到了一直想看的那片天世界一下安静了。,属于反应卡【😆 启动愉悦程序】,
C-G08-S3,场景卡,黄,场景组8,她也玩进去了,你拉她玩的桌游或游戏她居然真的玩得很开心还赢了你那一刻比自己赢还爽。,属于反应卡【😆 启动愉悦程序】,理解陷阱·让他最开心的不是赢是她愿意进入我的世界
C-G09-R,反应卡,黄,场景组9,😔 启动自我怀疑（觉得自己不够好、配不上）,代表雌性样本进入低自我评价状态那个我不够好的老念头被触发。,先亮出此卡由妻子秘密选下方某个场景丈夫猜,妻子为样本·触及自卑
C-G09-S1,场景卡,黄,场景组9,比较之下,看到别人更优秀更漂亮或更有成就你忽然觉得自己哪儿都差一截。,属于反应卡【😔 启动自我怀疑】,
C-G09-S2,场景卡,黄,场景组9,他的沉默,他最近话变少了没那么主动了你开始胡思乱想是不是自己哪里不好。,属于反应卡【😔 启动自我怀疑】,理解陷阱·他只是累了她却容易解读成是不是我不好
C-G09-S3,场景卡,红,场景组9,出身的念头,想到两家的差距想到自己的家境那个我配不上他的老念头又冒了出来。,属于反应卡【😔 启动自我怀疑】,
C-E55,事件卡,黄,异性关系,享受异性关注,雄性样本在社交场合对异性个体表现出较高的互动意愿与愉悦反应该反应可被在场的雌性样本观测到。,【问丈夫】你喜欢和异性聊天也享受那种被关注她在旁边看着时你真实的反应是？,丈夫为样本
C-E56,事件卡,红,异性关系,看他和别的女生,雌性样本观测到配偶与异性个体进行高亲密度互动内部警报被触发。,【问妻子】看到他和别的女生聊得很开心很自然时你心里真实的感受是？,妻子为样本·掏心窝
C-E57,事件卡,黄,异性关系,我没有男性朋友,雌性样本的社交网络中异性节点接近于零这与配偶丰富的异性社交结构形成鲜明对比。,【问妻子】意识到他异性朋友一大堆你却几乎没有男性朋友时你心里真实的感受是？,妻子为样本
C-E58,事件卡,黄,异性关系,被吃醋了,雌性样本因配偶的异性互动表达不满雄性样本面临解释安抚或回避的选择。,【问丈夫】她因为你跟异性走得近而吃醋质问你时你真实的反应是？,丈夫为样本
C-E59,事件卡,红,异性关系,界线在哪,两名样本对什么程度的异性互动是可接受的存在从未明确协商过的不同设定值。,【问任一方】聊到和异性相处的界线到底在哪这件事时你心里真实的感受是？,双方皆可为样本·掏心窝
C-E60,事件卡,黄,异性关系,别人对他有好感,异性个体对配偶的某项特质给予正面评价或表现出好感雌性样本对该信号的来源与频率保持监测。,【问妻子】别的女生夸他或者明显对他有好感时你真实的反应是？,妻子为样本
C-E61,事件卡,红,异性关系,花心的自觉,雄性样本对自身倾向于亲近异性的特质有一定自我认知该认知与对配偶的承诺之间存在需要持续校准的张力。,【问丈夫】你清楚自己这点花心也知道她很在意独处时想到这件事你心里真实的是？,丈夫为样本·掏心窝
C-E62,事件卡,红,异性关系,怕被比下去,雌性样本将自身与配偶接触的异性个体进行隐性比较该比较常导向不利于自身的结论。,【问妻子】你会不会拿自己跟他身边那些女生比觉得自己不如人家那一刻你心里是？,妻子为样本·掏心窝·触及自卑
C-G10-R,反应卡,黄,场景组10,🫣 启动吃醋警报（心里发紧、不是滋味、想确认）,代表雌性样本因配偶的异性互动产生占有性警报心里发紧不是滋味。,先亮出此卡由妻子秘密选下方某个场景丈夫猜,妻子为样本·信任与不安
C-G10-S1,场景卡,黄,场景组10,秒回别人,你发现他对某个异性的消息秒回对你却常常半天不理。,属于反应卡【🫣 启动吃醋警报】,理解陷阱·她在意的不是聊天本身是那个对比别人被秒回我被冷落
C-G10-S2,场景卡,红,场景组10,提起那个名字,他不经意又提起某个女生的名字语气里那点轻松和熟悉让你心里咯噔一下。,属于反应卡【🫣 启动吃醋警报】,
C-G10-S3,场景卡,黄,场景组10,扣下手机的瞬间,你本来没想查岗但他下意识把手机扣过来或划掉对话的那个小动作比内容本身更让你心里发凉。,属于反应卡【🫣 启动吃醋警报】,
