卡牌ID,卡牌类型,暴露度,子类,卡名,外星观测/场景描述,提问或归属,备注
L-E20,事件卡,黄,日常·真实,谎言初体验,幼年样本声称已经刷牙，但其牙刷干燥，口腔散发出零食气味。成年样本面对这个并不高明的谎言，需要做出反应。,发现孩子撒了个一眼看穿的小谎（比如没刷牙说刷了）时，你真实的反应是？,
L-E21,事件卡,红,内心·高暴露,夜间独处期,幼年样本已休眠，居所安静。成年样本独自坐在沙发上，未开大灯，手中捧着发光的小屏幕，长时间未动。屏幕的光映在脸上。,晚上孩子睡了、屋子安静、你一个人刷手机时，你心里其实最常想的是？,
L-E22,事件卡,红,内心·高暴露,失控之后的自责,成年样本刚刚对幼年样本释放了超出预期强度的情绪。幼年样本退到角落。此刻成年样本独自站着，那股怒气正在退潮，留下别的东西。,你刚冲孩子发完很大的火、孩子被吓到了、你冷静下来的那一刻，你心里是？,
L-E23,事件卡,红,内心·高暴露,疲惫的诚实时刻,在一个特别漫长的日子结束后，成年样本被问到「当父母开心吗」。这个问题在某个深夜击中了样本，答案比想象中复杂。,如果诚实回答：有没有那么一瞬间，你觉得当爸爸/妈妈真的好累、甚至想逃开一下？,
L-E24,事件卡,红,内心·高暴露,害怕辜负,成年样本看着熟睡的幼年样本，想到自己也是第一次做父母，会犯错、会不够好。一种隐秘的担忧浮现：「我会不会把这件事搞砸？」,你有没有偷偷担心过：自己是不是不够好的爸爸/妈妈、会不会耽误了孩子？,
L-E25,事件卡,红,内心·高暴露,被需要与被消耗,幼年样本时刻需要成年样本：陪伴、回应、解决一切。成年样本被紧紧依赖着，同时也感到自己作为一个独立个体，正在一点点消失。,孩子时时刻刻黏着你、需要你，你在感到被爱的同时，会不会也觉得「我快没有自己了」？,
L-E26,事件卡,红,内心·高暴露,重复了上一代,成年样本在某个瞬间，听见自己说出了一句话——那句话，正是自己小时候最不想听到父母说的那句。话已出口。,你有没有发现，自己有时候会变成小时候你最不喜欢的那种父母的样子？,
L-E27,事件卡,红,内心·高暴露,无条件的瞬间,抛开成绩、表现、听不听话这一切，成年样本注视着幼年样本，内心有一句话，平时很少说出口，但它一直都在。,如果此刻让你对孩子说一句平时不好意思说的真心话，你会说什么？,温暖向红卡
L-E28,事件卡,红,内心·高暴露,对不起没说出口,成年样本回想起某件事，自己其实错怪了幼年样本，或处理得不够好。那句道歉一直停在喉咙里，因为「大人怎么能跟小孩道歉」。,有没有一件事，你其实觉得自己对孩子做错了，但一直没说出口的「对不起」？,
L-G01-R,反应卡,黄,场景组1,💧 启动眼部排水系统（哭了）,代表样本流泪、委屈、伤心。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
L-G01-S1,场景卡,黄,场景组1,塑料伙伴阵亡,你最喜欢的那个玩具，被不小心踩到，咔地断成两半，再也拼不回去了。,属于反应卡【💧 启动眼部排水系统（哭了）】,
L-G01-S2,场景卡,黄,场景组1,「人满了」,你跑过去问我能不能一起玩，他们看你一眼说人满了，然后继续玩，没人再看你。,属于反应卡【💧 启动眼部排水系统（哭了）】,
L-G01-S3,场景卡,黄,场景组1,背了黑锅,明明不是你弄的，大人却指着你说就是你干的，你说不是，没有人信你。,属于反应卡【💧 启动眼部排水系统（哭了）】,
L-G02-R,反应卡,黄,场景组2,🔥 启动对抗程序（生气、跺脚、不理人）,代表样本发火、顶嘴、对抗。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
L-G02-S1,场景卡,绿,场景组2,正看到一半,动画片演到最精彩的地方，大人啪地把电视关了，说看够了去写作业。,属于反应卡【🔥 启动对抗程序（生气、跺脚、不理人）】,
L-G02-S2,场景卡,黄,场景组2,被抢了还要让,你搭的积木城堡被弟弟妹妹推倒，大人却说他还小你让让他。,属于反应卡【🔥 启动对抗程序（生气、跺脚、不理人）】,
L-G02-S3,场景卡,黄,场景组2,说话没人听,你想讲今天学校超好玩的事，妈妈一边看手机一边嗯嗯，根本没在听。,属于反应卡【🔥 启动对抗程序（生气、跺脚、不理人）】,
L-G03-R,反应卡,绿,场景组3,😄 启动愉悦反应（超级开心、蹦跳）,代表样本快乐、兴奋、满足。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
L-G03-S1,场景卡,绿,场景组3,被看见了,老师当着全班说这个做得真好，还把你的作品贴在了墙上。,属于反应卡【😄 启动愉悦反应（超级开心、蹦跳）】,
L-G03-S2,场景卡,绿,场景组3,说话算话,爸爸答应周末带你去的地方，他真的没忘，真的带你去了。,属于反应卡【😄 启动愉悦反应（超级开心、蹦跳）】,
L-G03-S3,场景卡,绿,场景组3,我们的小秘密,妈妈偷偷跟你说这件事我们俩知道就好，你们有了只属于彼此的秘密。,属于反应卡【😄 启动愉悦反应（超级开心、蹦跳）】,
L-G04-R,反应卡,黄,场景组4,😨 启动恐惧反应（害怕、不敢、躲）,代表样本害怕、退缩、不安。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
L-G04-S1,场景卡,绿,场景组4,黑漆漆的房间,晚上一个人睡，灯一关，衣柜的影子看起来像有什么东西要出来。,属于反应卡【😨 启动恐惧反应（害怕、不敢、躲）】,
L-G04-S2,场景卡,黄,场景组4,第一天上学,到了一个全是陌生人的地方，爸爸妈妈要走了，你不知道接下来会怎样。,属于反应卡【😨 启动恐惧反应（害怕、不敢、躲）】,
L-G04-S3,场景卡,红,场景组4,怕让你失望,你做错了一件事，最怕的不是被骂，而是看到爸爸妈妈失望的眼神。,属于反应卡【😨 启动恐惧反应（害怕、不敢、躲）】,
L-G05-R,反应卡,红,场景组5,🤐 启动静默程序（不说话、闷着）,代表样本沉默、把话憋在心里。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
L-G05-S1,场景卡,红,场景组5,说了会被骂,你心里有个想法，但你猜说出来一定会挨骂，所以决定不说了。,属于反应卡【🤐 启动静默程序（不说话、闷着）】,
L-G05-S2,场景卡,红,场景组5,反正没人懂,你试着讲过一次，但大人说你想太多，于是你不想再讲第二次。,属于反应卡【🤐 启动静默程序（不说话、闷着）】,
L-G05-S3,场景卡,黄,场景组5,就是不想说,没发生什么特别的事，你就是有点累、有点闷，只想安静一会儿。,属于反应卡【🤐 启动静默程序（不说话、闷着）】,
L-G06-R,反应卡,黄,场景组6,🥺 启动求抱反应（想要抱抱、撒娇）,代表样本示弱、渴望安慰。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
L-G06-S1,场景卡,绿,场景组6,摔疼了,你跑着跑着摔了一跤，膝盖很疼，但更想要的是有人抱抱你。,属于反应卡【🥺 启动求抱反应（想要抱抱、撒娇）】,
L-G06-S2,场景卡,黄,场景组6,做了噩梦,半夜被一个可怕的梦惊醒，你光着脚跑去找爸爸妈妈的房间。,属于反应卡【🥺 启动求抱反应（想要抱抱、撒娇）】,
L-G06-S3,场景卡,绿,场景组6,一整天没见到你,你在学校待了一整天，放学看到来接你的人，特别想扑过去。,属于反应卡【🥺 启动求抱反应（想要抱抱、撒娇）】,
L-G07-R,反应卡,绿,场景组7,😆 启动恶作剧程序（调皮、捣蛋、坏笑）,代表样本调皮、想引起注意。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
L-G07-S1,场景卡,绿,场景组7,藏起来吓你,你躲在门后面，就为了等爸爸妈妈经过时跳出来喊一声哇。,属于反应卡【😆 启动恶作剧程序（调皮、捣蛋、坏笑）】,
L-G07-S2,场景卡,绿,场景组7,故意的,你明知道这样做大人会皱眉，但你就是想看看会发生什么。,属于反应卡【😆 启动恶作剧程序（调皮、捣蛋、坏笑）】,
L-G07-S3,场景卡,黄,场景组7,想让你看我,你做出各种夸张的动作，其实只是想让正在忙的大人多看你一眼。,属于反应卡【😆 启动恶作剧程序（调皮、捣蛋、坏笑）】,
L-G08-R,反应卡,黄,场景组8,😤 启动委屈反应（觉得不公平）,代表样本感到不被公平对待。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
L-G08-S1,场景卡,红,场景组8,同样的事不同待遇,同样一件事，弟弟妹妹做了被夸可爱，你做了被说这么大还这样。,属于反应卡【😤 启动委屈反应（觉得不公平）】,
L-G08-S2,场景卡,黄,场景组8,只看到我做错的,你做了九件好事一件错事，大人偏偏只盯着那一件说个不停。,属于反应卡【😤 启动委屈反应（觉得不公平）】,
L-G08-S3,场景卡,黄,场景组8,没问就怪我,事情还没搞清楚，大人就先认定是你的错，根本不给你解释的机会。,属于反应卡【😤 启动委屈反应（觉得不公平）】,
