卡牌ID,卡牌类型,暴露度,子类,卡名,外星观测/场景描述,提问或归属,备注
H-E22,事件卡,红,内心·高暴露,代际数据比对,成年样本在交流中调取另一个体（亲戚的孩子/同学/兄弟姐妹）的表现数据作为参照。话出口的瞬间，幼年样本的表情迅速关闭。,你忍不住说出「你看看别人家孩子」这类话时，你心里其实是什么感受？（你知道这话会伤人吗？你为什么还是说了？）,源自文本集H-04
H-E23,事件卡,红,内心·高暴露,期望落差的私密时刻,在无人观测时，成年样本独自回想幼年样本近期的某个表现，与自己当年对这个孩子的设想做对照。这一刻成年样本的真实内部状态从未对外公开。,当你一个人想到「孩子没有长成我当初期待的样子」时，你心里真实的感受是？,源自文本集H-07
H-E24,事件卡,红,内心·高暴露,夜间关系回溯,幼年样本已休眠，居所安静。成年样本独自坐着，想到最近与幼年样本的某次摩擦，开始在脑海中回放，反推这段关系的走向——是在靠近，还是在漂移？,夜里孩子睡了、你一个人想到你们最近的相处，你心里真实的感受是？,
H-E25,事件卡,红,内心·高暴露,失控之后的自责,成年样本刚刚对幼年样本释放了超出预期强度的情绪。对峙结束，幼年样本已关上门。成年样本独自站在客厅，那股怒气正在退潮，留下的东西更难处理。,你对孩子发了很大的火、他关上门走开了、你一个人冷静下来的那一刻，你心里是？,
H-E26,事件卡,红,内心·高暴露,意识到孩子快长大了,某个日常瞬间——孩子的身高、说话方式、对某件事的判断——成年样本突然意识到，那个需要你扶着走的孩子，正在从某个不可见的节点开始转向，成为另一个人。,当你突然发现孩子真的在长大、不再是那个完全需要你的小孩时，你心里是？,
H-E27,事件卡,红,内心·高暴露,无条件的瞬间,抛开成绩、朋友、规矩、前途，抛开「你应该变成什么样」——成年样本看着幼年样本，内心有一句平时说不出口的话。它不需要任何条件，不换任何回报，它就是在那里。,如果让你对孩子说一句平时说不出口的真心话，你会说什么？,温暖向红卡
H-E28,事件卡,红,内心·高暴露,放手与保护的岔路,幼年样本正在独立做某件事，成年样本看在眼里，知道可能会受挫，也知道这是他必经的历练。两种本能在拉扯：伸手帮他，还是退后，让他自己走过去。,孩子在做一件可能会受挫的事、你看着他，你心里在做什么决定？,
H-G01-R,反应卡,黄,场景组1,💧 启动眼部排水系统（哭了，或躲起来哭）,代表样本流泪、委屈、独自消化悲伤——不一定当场哭，可能是回房间才哭。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
H-G01-S1,场景卡,黄,场景组1,当众出糗,你上台发言时说错了话，全班哄笑，老师没有制止，那笑声你到现在还记得。,属于反应卡【💧 启动眼部排水系统（哭了）】,
H-G01-S2,场景卡,黄,场景组1,被最好的朋友丢下,那个曾经无话不谈的好朋友，最近突然有了新的「最好的朋友」，开始绕过你、不带你玩。,属于反应卡【💧 启动眼部排水系统（哭了）】,
H-G01-S3,场景卡,红,场景组1,觉得爸妈偏心,同样的事，弟弟妹妹做了被夸「还小很可爱」，你做了被说「这么大了还这样」。,属于反应卡【💧 启动眼部排水系统（哭了）】,
H-G02-R,反应卡,黄,场景组2,🔥 启动对抗程序（顶嘴、摔门、大吼）,代表样本发起正面对抗：顶嘴、摔门、大声反驳，不再压着。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
H-G02-S1,场景卡,黄,场景组2,隐私被翻,你回家发现抽屉/书包/手机被翻过，东西的位置变了，但没有人承认。,属于反应卡【🔥 启动对抗程序（顶嘴、摔门、大吼）】,
H-G02-S2,场景卡,黄,场景组2,被拿来比较,你已经很努力了，换来的是一句「你看看人家XXX，怎么就比你强」。,属于反应卡【🔥 启动对抗程序（顶嘴、摔门、大吼）】,
H-G02-S3,场景卡,黄,场景组2,话被打断,你鼓起勇气想解释一件事，话说到一半，大人一句「行了行了我知道了」把你堵了回去，根本不想听你说完。,属于反应卡【🔥 启动对抗程序（顶嘴、摔门、大吼）】,理解陷阱：家长常猜隐私或被比较，实际最炸的往往是这个
H-G03-R,反应卡,黄,场景组3,🧊 启动静默封闭程序（不说话、回房间、关门）,代表样本沉默退场：关门、停止一切外部输出，把情绪锁在里面。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
H-G03-S1,场景卡,黄,场景组3,说了也没用,你试过好好说，但每次说出真实想法都被否定，于是你决定干脆不说了。,属于反应卡【🧊 启动静默封闭程序】,
H-G03-S2,场景卡,黄,场景组3,被误会懒得解释,你被冤枉了，但你知道就算解释他们也不会信，所以你选择闭嘴。,属于反应卡【🧊 启动静默封闭程序】,
H-G03-S3,场景卡,绿,场景组3,只想一个人待着,没发生什么特别的事，你就是累了、烦了，只想关上门谁也不见，没有任何理由。,属于反应卡【🧊 启动静默封闭程序】,理解陷阱：家长总想找原因，但孩子选这个时真相恰恰是「没有原因」
H-G04-R,反应卡,绿,场景组4,😌 启动信任反应（愿意敞开、主动说心里话）,代表样本降低防御，主动向外开放内心信息——这不是默认状态，是被什么触发了。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
H-G04-S1,场景卡,绿,场景组4,被当大人看,爸妈认真问你的意见，而且真的采纳了，没有当成「小孩子的想法」。,属于反应卡【😌 启动信任反应】,
H-G04-S2,场景卡,绿,场景组4,犯错没被骂,你搞砸了一件事，做好了挨骂的准备，但他们先问的是「你还好吗」。,属于反应卡【😌 启动信任反应】,
H-G04-S3,场景卡,黄,场景组4,爸妈也示弱,爸爸/妈妈主动跟你承认「那件事是我错了」或「我也会害怕」，那一刻你觉得你们是平等的。,属于反应卡【😌 启动信任反应】,整副牌里最温柔的一组；猜中这个等于拿到了和孩子沟通的钥匙
H-G05-R,反应卡,黄,场景组5,😰 启动焦虑反应（坐立不安、睡不着、反复确认）,代表样本处于持续内心紧绷状态，某件悬着的事让他无法放松。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：高年级焦虑体验更复杂
H-G05-S1,场景卡,黄,场景组5,考前一夜,明天就是期末考，你已经把该背的都背了，但还是翻来覆去睡不着，因为「万一」。,属于反应卡【😰 启动焦虑反应】,
H-G05-S2,场景卡,黄,场景组5,等待和好,你和最好的朋友吵架了，你已经道了歉，但还没收到回复，不知道这段关系还在不在。,属于反应卡【😰 启动焦虑反应】,
H-G05-S3,场景卡,黄,场景组5,等待被发现,你做了一件不该做的事，大人还不知道，但你知道迟早会知道——那种等待的感觉比被骂还难受。,属于反应卡【😰 启动焦虑反应】,
H-G06-R,反应卡,黄,场景组6,😔 启动失落反应（蔫了、提不起劲、心里空了一块）,代表样本进入低能量状态，不是哭，是什么都提不起劲，安静地蔫着。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：区别于「哭」的另一种低落
H-G06-S1,场景卡,黄,场景组6,期待泡汤,你等了很久的一件事（活动/礼物/消息）最终没有发生，对方甚至没有解释。,属于反应卡【😔 启动失落反应】,
H-G06-S2,场景卡,黄,场景组6,努力了也没用,你付出了真正的努力，但最后结果还是不好。你不是没尽力，就是没成。,属于反应卡【😔 启动失落反应】,
H-G06-S3,场景卡,红,场景组6,被好友嘲笑,你把一件对你很重要的事告诉了最好的朋友，结果他笑了，觉得你大惊小怪。,属于反应卡【😔 启动失落反应】,
H-G07-R,反应卡,黄,场景组7,😤 启动委屈反应（憋屈、觉得不公平、没地方说）,代表样本感到被不公平对待，又找不到出口，气在肚子里散不掉。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：区别于「对抗」的另一种不满
H-G07-S1,场景卡,黄,场景组7,明明更努力,你比那个被夸的人付出了更多时间，但被表扬的不是你，甚至没人注意到你做了什么。,属于反应卡【😤 启动委屈反应】,
H-G07-S2,场景卡,黄,场景组7,替人背锅,不是你发起的，但你是最显眼的，于是老师/家长认定你是「带头的」，你没法证明自己是被牵连的。,属于反应卡【😤 启动委屈反应】,
H-G07-S3,场景卡,黄,场景组7,解释权被剥夺,你还没把事情说完，大人就已经下了结论，再怎么解释他们都不改，你的话根本进不去。,属于反应卡【😤 启动委屈反应】,
H-G08-R,反应卡,绿,场景组8,😁 启动自豪反应（特别满足、想告诉全世界）,代表样本内心充盈，有一种「我做到了」的踏实感，不需要别人认可也在的那种。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：正向情绪组，猜中孩子的成就感来源同样是深刻的理解
H-G08-S1,场景卡,绿,场景组8,靠自己解决了,有一件事你本来打算找大人帮忙，但后来你自己想出了办法，并且真的做成了。,属于反应卡【😁 启动自豪反应】,
H-G08-S2,场景卡,绿,场景组8,成为有人依赖的人,有同学/朋友遇到麻烦，第一个想到找你，你帮上了。那种感觉和被人帮是不一样的。,属于反应卡【😁 启动自豪反应】,
H-G08-S3,场景卡,黄,场景组8,被当大人看了,大人在讨论一件重要的事，第一次认真问了你的意见，而且他们真的听进去了。,属于反应卡【😁 启动自豪反应】,
