卡牌ID,卡牌类型,暴露度,子类,卡名,外星观测/场景描述,提问或归属,备注
H-E22,事件卡,红,内心·高暴露,代际数据比对,成年样本在交流中调取另一个体（亲戚的孩子/同学/兄弟姐妹）的表现数据作为参照。话出口的瞬间，幼年样本的表情迅速关闭。,你忍不住说出「你看看别人家孩子」这类话时，你心里其实是什么感受？（你知道这话会伤人吗？你为什么还是说了？）,源自文本集H-04
H-E23,事件卡,红,内心·高暴露,期望落差的私密时刻,在无人观测时，成年样本独自回想幼年样本近期的某个表现，与自己当年对这个孩子的设想做对照。这一刻成年样本的真实内部状态从未对外公开。,当你一个人想到「孩子没有长成我当初期待的样子」时，你心里真实的感受是？,源自文本集H-07
H-E24,事件卡,红,内心·高暴露,夜间关系回溯,幼年样本已休眠，居所安静。成年样本独自坐着，想到最近与幼年样本的某次摩擦，开始在脑海中回放，反推这段关系的走向——是在靠近，还是在漂移？,夜里孩子睡了、你一个人想到你们最近的相处，你心里真实的感受是？,
H-E25,事件卡,红,内心·高暴露,失控之后的自责,成年样本刚刚对幼年样本释放了超出预期强度的情绪。对峙结束，幼年样本已关上门。成年样本独自站在客厅，那股怒气正在退潮，留下的东西更难处理。,你对孩子发了很大的火、他关上门走开了、你一个人冷静下来的那一刻，你心里是？,
H-E26,事件卡,红,内心·高暴露,意识到孩子快长大了,某个日常瞬间——孩子的身高、说话方式、对某件事的判断——成年样本突然意识到，那个需要你扶着走的孩子，正在从某个不可见的节点开始转向，成为另一个人。,当你突然发现孩子真的在长大、不再是那个完全需要你的小孩时，你心里是？,
H-E27,事件卡,红,内心·高暴露,无条件的瞬间,抛开成绩、朋友、规矩、前途，抛开「你应该变成什么样」——成年样本看着幼年样本，内心有一句平时说不出口的话。它不需要任何条件，不换任何回报，它就是在那里。,如果让你对孩子说一句平时说不出口的真心话，你会说什么？,温暖向红卡
H-E28,事件卡,红,内心·高暴露,放手与保护的岔路,幼年样本正在独立做某件事，成年样本看在眼里，知道可能会受挫，也知道这是他必经的历练。两种本能在拉扯：伸手帮他，还是退后，让他自己走过去。,孩子在做一件可能会受挫的事、你看着他，你心里在做什么决定？,
H-E29,事件卡,绿,日常·幽默,自助点单系统对峙,成年样本站在快餐店的自助点餐屏幕前，后方已排起队列。样本反复点击同一选项均无响应，手指悬停在屏幕上方约十秒，最终转身寻找一名碳基工作人员协助。,在自助点餐机/取票机前怎么点都点不对、后面还有人排队时，你真实的反应是？,
H-E30,事件卡,绿,日常·幽默,购物车轮异常,成年样本于物资交换中心选取一辆带轮金属容器，发现其中一只轮子持续偏向左侧，每前进两米需手动校正一次。容器发出规律性的尖锐摩擦声，沿途其他样本侧目。,推到一辆总往一边偏、还吱呀响的购物车、又懒得换时，你真实的反应是？,
H-E31,事件卡,绿,日常·幽默,密码记忆体溢出,成年样本尝试登入某个账户，连续输入三个曾经使用过的密码均被拒绝。系统提示再错一次将锁定账户。样本盯着输入框，记忆检索程序全面崩溃。,某个账号密码怎么都想不起来、再错一次就锁定时，你真实的反应是？,
H-E32,事件卡,绿,日常·幽默,塑封包装攻防战,成年样本试图开启一件密封食品的包装，沿虚线撕扯失败，改用牙咬失败，最终动用剪切工具。包装在剪开瞬间过度用力，内容物部分喷射而出。,一包零食怎么都撕不开、最后用力过猛撒了一地时，你真实的反应是？,
H-E33,事件卡,绿,日常·幽默,共享单车寻踪,成年样本扫码解锁一辆共享代步工具，App显示「开锁成功」，但样本面前停放的七辆车均未响应。样本沿街逐辆查看二维码，怀疑自己扫了隔壁那辆。,扫码开了共享单车、却分不清开的到底是哪一辆时，你真实的反应是？,
H-E34,事件卡,绿,日常·真实,购物冲动事后审查,成年样本在某次促销活动中下单若干物品。包裹陆续到达后，样本对照清单，发现其中半数为「当时觉得很需要」但「现在完全想不起为什么要买」的物件。,收到一堆当时冲动下单、现在后悔买的东西时，你真实的反应是？,
H-E35,事件卡,绿,日常·真实,体重秤读数事件,成年样本于晨间踏上测重装置，读数较上次记录有所上升。样本退下，调整站姿，再次踏上，读数未变。样本第三次尝试，并下意识吸气收腹。,早上一称体重发现又重了、还反复站上去想看错没时，你真实的反应是？,
H-E36,事件卡,绿,日常·真实,亲戚催问连发,在家族聚会中，成年样本遭遇来自其他成年个体的高频提问：收入、住房、幼年样本成绩、第二个幼崽的计划。问题密集，间隙极短，样本的微笑维持系统承受压力。,过年过节被亲戚连环追问工资房子孩子时，你真实的反应是？,
H-E37,事件卡,黄,日常·真实,房间环境恶化警报,成年样本推开幼年样本休息舱的门，发现地面、桌面、床面均处于不可见的覆盖状态：衣物、食品包装、纸张层叠堆积。样本在门口停顿，正在决定是否开口。,看到孩子房间乱得下不去脚、又一次想说他时，你真实的反应是？,
H-E38,事件卡,黄,日常·真实,睡眠周期严重紊乱,夜间已远超约定休眠时刻，幼年样本休息舱门缝下仍透出发光设备的微光，并伴有压低的键盘敲击声。成年样本明日需早起，正考虑是否前去交涉。,深夜发现孩子还偷偷不睡在玩手机、而你明天还得早起时，你真实的反应是？,
H-E39,事件卡,黄,日常·真实,理想职业申报冲突,幼年样本郑重宣布了一项未来发展方向（如游戏主播/电竞选手/画手），与成年样本的预期路径存在显著偏差。幼年样本眼中有光，成年样本的表情管理面临考验。,孩子认真宣布想从事一个你不太看好的职业时，你真实的第一反应是？,
H-E40,事件卡,黄,日常·真实,零用资金去向不明,成年样本发现近期给予幼年样本的资金消耗速度超出常态，去向不明确。询问时，幼年样本的回答含糊，眼神出现轻微偏移。,发现孩子的零花钱花得又快又说不清去向时，你真实的反应是？,
H-E41,事件卡,黄,日常·真实,外貌关注度上升,成年样本注意到幼年样本在出门前于镜前停留的时间显著延长，开始在意发型、衣着，并对某次「你今天看起来不错」的评价表现出超常的在意。,发现孩子突然变得很在意自己的外表、照镜子照很久时，你真实的反应是？,
H-E42,事件卡,黄,日常·真实,作业辅导耐心耗尽,成年样本第N次讲解同一道题，幼年样本的表情显示理解程序仍未加载成功。成年样本声调正在不受控地缓慢升高，房间温度体感上升。,辅导作业讲了好几遍孩子还是不会、你感觉血压上来时，你真实的反应是？,
H-E43,事件卡,黄,日常·真实,被无视事件,成年样本向幼年样本说了一句话，幼年样本戴着耳机，眼睛盯着屏幕，没有任何回应迹象。成年样本不确定对方是没听见，还是听见了选择不回应。,你跟孩子说话、他戴着耳机看屏幕完全没反应、你不知道是没听见还是不想理时，你真实的反应是？,
H-E44,事件卡,黄,日常·真实,情绪源头不明,成年样本观察到幼年样本回家后明显情绪低落，但拒绝说明原因，对「怎么了」「发生什么了」的探询一律以「没事」回应。成年样本看得出有事，但够不着。,看出孩子明显不开心、问了却只说没事、你想帮又插不进去时，你真实的反应是？,
H-E45,事件卡,黄,日常·真实,意见被当场否定,在某次家庭讨论中，成年样本提出一个建议，幼年样本立即以「你不懂」「现在不是你们那个年代了」予以否定，并配以轻微的表情变化。,你给孩子提个建议、他一句你不懂就把你顶回来时，你真实的反应是？,
H-E46,事件卡,黄,日常·真实,首个秘密的存在,成年样本逐渐意识到，幼年样本的生活中开始存在一些「不再主动分享」的区域——某些经历、某些想法，第一次有了「不告诉爸妈」的部分，且这是自然发生的。,意识到孩子开始有了不愿告诉你的小秘密、这很正常但你还是有点失落时，你真实的反应是？,
H-E47,事件卡,黄,日常·真实,道歉时机错失,成年样本意识到先前某次对幼年样本的反应或许过重，想要找补，但时机已过，气氛已凝固，开口的窗口似乎已经关闭，话卡在喉咙。,你意识到自己之前对孩子反应过头了、想道歉又开不了口时，你真实的反应是？,
H-E48,事件卡,黄,日常·真实,边界试探升级,幼年样本就某项家庭规则提出了一个成年样本从未预料到的新要求（独自外出过夜/独自旅行/更晚的回家时间），理由准备充分，态度坚定。,孩子提出一个你没准备好答应的独立要求（比如独自出远门）、还说得头头是道时，你真实的反应是？,
H-E49,事件卡,黄,日常·真实,情绪天气突变,前一刻还好好的，下一刻幼年样本因为一句看似平常的话突然情绪剧变，成年样本回放刚才的对话，找不到那个引爆点究竟在哪里。,孩子前一秒还好好的、因为你一句普通的话突然就炸了/沉了、你完全没反应过来时，你真实的反应是？,
H-E50,事件卡,黄,日常·真实,被孩子说中弱点,在一次争执中，幼年样本说出了一句精准击中成年样本内心痛处的话——一个连自己都不愿承认的弱点，被孩子一语道破。,孩子在吵架时一句话精准戳中了你最不愿承认的弱点时，你真实的反应是？,
H-E51,事件卡,黄,日常·真实,同辈优秀信息冲击,成年样本在社交平台或聚会中得知其他家庭幼年样本的优异表现（竞赛获奖/升学捷报）。信息接收的瞬间，样本内部启动了一段不愿示人的自动比较程序。,你刷到/听到别人家孩子又获奖又优秀、忍不住对照自己孩子时，你心里真实的感受是？,
H-E52,事件卡,红,内心·高暴露,曾被自己父母对待的方式,成年样本在某次对幼年样本说话后，突然意识到这句话、这个语气，与当年自己的父母对待自己时一模一样——那个曾经发誓不要变成的样子。,当你发现自己对孩子说话的方式、竟和当年你父母对你的一样时，你心里真实的感受是？,
H-E53,事件卡,红,内心·高暴露,害怕不被需要,成年样本观察到幼年样本越来越能独立处理事务，越来越少需要自己。在为此欣慰的同时，内部深处有一个不愿承认的声音：那个被需要的位置，正在慢慢空出来。,当你发现孩子越来越不需要你、你既欣慰又有点失落时，你心里最深处的感受是？,温暖向红卡
H-E54,事件卡,红,内心·高暴露,藏起来的偏爱,在有多个幼年样本的家庭中，成年样本在某个独处的时刻，诚实面对一个从不对外承认的内部数据：对待不同孩子时，自己心里的天平，是否真的完全水平？,如果你有不止一个孩子、诚实面对自己心里对他们的感情是否真的一碗水端平时，你心里是？,多孩家庭适用
H-E55,事件卡,红,内心·高暴露,无力感的承认,成年样本面对幼年样本的某个困境（学业/社交/情绪），第一次清晰地意识到：有些事自己已经帮不上忙了，能做的只有在旁边看着，这种无力感前所未有。,当你发现孩子的有些坎你已经帮不上忙、只能在旁边看着时，你心里真实的感受是？,
H-E56,事件卡,红,内心·高暴露,如果能重来一次,成年样本独自回想幼年样本成长中的某个节点——某次错过的陪伴、某句说重了的话、某个本可以不同的决定。如果时间允许回档，样本想要修改的，究竟是哪一处。,如果能回到孩子成长的某一刻重来一次、你最想改的是哪件事？你心里是？,温暖向红卡
H-G01-R,反应卡,黄,场景组1,💧 启动眼部排水系统（哭了，或躲起来哭）,代表样本流泪、委屈、独自消化悲伤——不一定当场哭，可能是回房间才哭。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
H-G01-S1,场景卡,黄,场景组1,当众出糗,你上台发言时说错了话，全班哄笑，老师没有制止，那笑声你到现在还记得。,属于反应卡【💧 启动眼部排水系统（哭了）】,
H-G01-S2,场景卡,黄,场景组1,被最好的朋友丢下,那个曾经无话不谈的好朋友，最近突然有了新的「最好的朋友」，开始绕过你、不带你玩。,属于反应卡【💧 启动眼部排水系统（哭了）】,
H-G01-S3,场景卡,红,场景组1,觉得爸妈偏心,同样的事，弟弟妹妹做了被夸「还小很可爱」，你做了被说「这么大了还这样」。,属于反应卡【💧 启动眼部排水系统（哭了）】,
H-G02-R,反应卡,黄,场景组2,🔥 启动对抗程序（顶嘴、摔门、大吼）,代表样本发起正面对抗：顶嘴、摔门、大声反驳，不再压着。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
H-G02-S1,场景卡,黄,场景组2,隐私被翻,你回家发现抽屉/书包/手机被翻过，东西的位置变了，但没有人承认。,属于反应卡【🔥 启动对抗程序（顶嘴、摔门、大吼）】,
H-G02-S2,场景卡,黄,场景组2,被拿来比较,你已经很努力了，换来的是一句「你看看人家XXX，怎么就比你强」。,属于反应卡【🔥 启动对抗程序（顶嘴、摔门、大吼）】,
H-G02-S3,场景卡,黄,场景组2,话被打断,你鼓起勇气想解释一件事，话说到一半，大人一句「行了行了我知道了」把你堵了回去，根本不想听你说完。,属于反应卡【🔥 启动对抗程序（顶嘴、摔门、大吼）】,理解陷阱：家长常猜隐私或被比较，实际最炸的往往是这个
H-G03-R,反应卡,黄,场景组3,🧊 启动静默封闭程序（不说话、回房间、关门）,代表样本沉默退场：关门、停止一切外部输出，把情绪锁在里面。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
H-G03-S1,场景卡,黄,场景组3,说了也没用,你试过好好说，但每次说出真实想法都被否定，于是你决定干脆不说了。,属于反应卡【🧊 启动静默封闭程序】,
H-G03-S2,场景卡,黄,场景组3,被误会懒得解释,你被冤枉了，但你知道就算解释他们也不会信，所以你选择闭嘴。,属于反应卡【🧊 启动静默封闭程序】,
H-G03-S3,场景卡,绿,场景组3,只想一个人待着,没发生什么特别的事，你就是累了、烦了，只想关上门谁也不见，没有任何理由。,属于反应卡【🧊 启动静默封闭程序】,理解陷阱：家长总想找原因，但孩子选这个时真相恰恰是「没有原因」
H-G04-R,反应卡,绿,场景组4,😌 启动信任反应（愿意敞开、主动说心里话）,代表样本降低防御，主动向外开放内心信息——这不是默认状态，是被什么触发了。,先亮出此卡，孩子秘密选下方某个场景，家长猜,
H-G04-S1,场景卡,绿,场景组4,被当大人看,爸妈认真问你的意见，而且真的采纳了，没有当成「小孩子的想法」。,属于反应卡【😌 启动信任反应】,
H-G04-S2,场景卡,绿,场景组4,犯错没被骂,你搞砸了一件事，做好了挨骂的准备，但他们先问的是「你还好吗」。,属于反应卡【😌 启动信任反应】,
H-G04-S3,场景卡,黄,场景组4,爸妈也示弱,爸爸/妈妈主动跟你承认「那件事是我错了」或「我也会害怕」，那一刻你觉得你们是平等的。,属于反应卡【😌 启动信任反应】,整副牌里最温柔的一组；猜中这个等于拿到了和孩子沟通的钥匙
H-G05-R,反应卡,黄,场景组5,😰 启动焦虑反应（坐立不安、睡不着、反复确认）,代表样本处于持续内心紧绷状态，某件悬着的事让他无法放松。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：高年级焦虑体验更复杂
H-G05-S1,场景卡,黄,场景组5,考前一夜,明天就是期末考，你已经把该背的都背了，但还是翻来覆去睡不着，因为「万一」。,属于反应卡【😰 启动焦虑反应】,
H-G05-S2,场景卡,黄,场景组5,等待和好,你和最好的朋友吵架了，你已经道了歉，但还没收到回复，不知道这段关系还在不在。,属于反应卡【😰 启动焦虑反应】,
H-G05-S3,场景卡,黄,场景组5,等待被发现,你做了一件不该做的事，大人还不知道，但你知道迟早会知道——那种等待的感觉比被骂还难受。,属于反应卡【😰 启动焦虑反应】,
H-G06-R,反应卡,黄,场景组6,😔 启动失落反应（蔫了、提不起劲、心里空了一块）,代表样本进入低能量状态，不是哭，是什么都提不起劲，安静地蔫着。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：区别于「哭」的另一种低落
H-G06-S1,场景卡,黄,场景组6,期待泡汤,你等了很久的一件事（活动/礼物/消息）最终没有发生，对方甚至没有解释。,属于反应卡【😔 启动失落反应】,
H-G06-S2,场景卡,黄,场景组6,努力了也没用,你付出了真正的努力，但最后结果还是不好。你不是没尽力，就是没成。,属于反应卡【😔 启动失落反应】,
H-G06-S3,场景卡,红,场景组6,被好友嘲笑,你把一件对你很重要的事告诉了最好的朋友，结果他笑了，觉得你大惊小怪。,属于反应卡【😔 启动失落反应】,
H-G07-R,反应卡,黄,场景组7,😤 启动委屈反应（憋屈、觉得不公平、没地方说）,代表样本感到被不公平对待，又找不到出口，气在肚子里散不掉。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：区别于「对抗」的另一种不满
H-G07-S1,场景卡,黄,场景组7,明明更努力,你比那个被夸的人付出了更多时间，但被表扬的不是你，甚至没人注意到你做了什么。,属于反应卡【😤 启动委屈反应】,
H-G07-S2,场景卡,黄,场景组7,替人背锅,不是你发起的，但你是最显眼的，于是老师/家长认定你是「带头的」，你没法证明自己是被牵连的。,属于反应卡【😤 启动委屈反应】,
H-G07-S3,场景卡,黄,场景组7,解释权被剥夺,你还没把事情说完，大人就已经下了结论，再怎么解释他们都不改，你的话根本进不去。,属于反应卡【😤 启动委屈反应】,
H-G08-R,反应卡,绿,场景组8,😁 启动自豪反应（特别满足、想告诉全世界）,代表样本内心充盈，有一种「我做到了」的踏实感，不需要别人认可也在的那种。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：正向情绪组，猜中孩子的成就感来源同样是深刻的理解
H-G08-S1,场景卡,绿,场景组8,靠自己解决了,有一件事你本来打算找大人帮忙，但后来你自己想出了办法，并且真的做成了。,属于反应卡【😁 启动自豪反应】,
H-G08-S2,场景卡,绿,场景组8,成为有人依赖的人,有同学/朋友遇到麻烦，第一个想到找你，你帮上了。那种感觉和被人帮是不一样的。,属于反应卡【😁 启动自豪反应】,
H-G08-S3,场景卡,黄,场景组8,被当大人看了,大人在讨论一件重要的事，第一次认真问了你的意见，而且他们真的听进去了。,属于反应卡【😁 启动自豪反应】,
H-G09-R,反应卡,黄,场景组9,🧮 启动据理力争程序（冷静讲道理、列证据反驳）,代表样本不哭不闹也不沉默，而是冷静地摆事实、讲逻辑、列出一二三条理由跟你辩，要的是「你被我说服」。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：🔵讲理系，模式乙首个讲理组（此前完全没有）
H-G09-S1,场景卡,黄,场景组9,规则双标,大人定的规矩自己却不遵守——让你少玩手机，自己却一直刷；让你早睡，自己却熬夜。你想问的是凭什么。,属于反应卡【🧮 启动据理力争程序】,
H-G09-S2,场景卡,黄,场景组9,我有我的道理,你做某件事其实是想清楚了的、有自己的理由的，但大人不听理由直接说「不行」，你想把那套逻辑完整讲给他们听。,属于反应卡【🧮 启动据理力争程序】,
H-G09-S3,场景卡,绿,场景组9,只是想被听见,你据理力争，并不是非要赢，而是想让他们真的听完你的想法、承认「你说的也有道理」，哪怕最后结论不变。,属于反应卡【🧮 启动据理力争程序】,理解陷阱：家长以为孩子讲理是为了赢/要权利，其实他只是想被认真听完一次
H-G10-R,反应卡,绿,场景组10,😆 启动放松反应（彻底松一口气、想蹦想笑）,代表样本卸下了一直压着的紧张，整个人轻下来，那种「终于过去了」的释然。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：正向·释然，与「自豪」「开心」区分
H-G10-S1,场景卡,绿,场景组10,熬过去了,一件你害怕了很久的事（考试/表演/检查）终于结束了，不管结果如何，那种压在胸口的石头一下子没了。,属于反应卡【😆 启动放松反应】,
H-G10-S2,场景卡,绿,场景组10,误会解开了,你被人误会的一件事，终于真相大白，大家知道不是你做的了，你不用再憋着那口气。,属于反应卡【😆 启动放松反应】,
H-G10-S3,场景卡,黄,场景组10,担心的事没发生,你一直担心会发生的坏事（被发现/被批评/被讨厌）最后没有发生，那一刻你才发现自己一直绷得有多紧。,属于反应卡【😆 启动放松反应】,理解陷阱：家长以为孩子轻松是因为玩得开心，其实是某件一直悬着的事终于落地
H-G11-R,反应卡,黄,场景组11,😶 启动尴尬反应（脸发烫、想找地缝钻进去）,代表样本因为某个当众的瞬间感到强烈的难为情，恨不得立刻消失，全身警报。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：尴尬维度，高年级对面子极度敏感
H-G11-S1,场景卡,黄,场景组11,被当众表扬,大人在很多人面前夸你，说得你浑身不自在，你知道是好话，但你只想他们停下来。,属于反应卡【😶 启动尴尬反应】,
H-G11-S2,场景卡,红,场景组11,爸妈当众揭短,在同学或亲戚面前，爸妈把你小时候的糗事/尿床/外号当笑话讲出来，所有人都笑了。,属于反应卡【😶 启动尴尬反应】,理解陷阱：家长觉得是亲昵的玩笑，孩子却觉得自己被当众扒光
H-G11-S3,场景卡,黄,场景组11,被看到喜欢谁,你偷偷喜欢的那个人，被同学起哄当众点破，你的脸瞬间烧起来，不知道往哪看。,属于反应卡【😶 启动尴尬反应】,
H-G12-R,反应卡,黄,场景组12,💢 启动嫉妒反应（不是滋味、心里酸、说不出口）,代表样本看着别人拥有自己想要的东西，心里泛起一种又酸又闷、不太光彩、不好意思说出口的情绪。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：嫉妒/羡慕，一种孩子难以启齿的复杂情绪
H-G12-S1,场景卡,黄,场景组12,他什么都有,班上某个同学好像什么都有——新手机、好成绩、被老师喜欢、朋友又多，而你好像怎么追都追不上。,属于反应卡【💢 启动嫉妒反应】,
H-G12-S2,场景卡,黄,场景组12,好友有了新朋友,你最好的朋友最近和另一个人越来越好，他们有了你不懂的梗、不带你的小圈子，你假装不在意。,属于反应卡【💢 启动嫉妒反应】,
H-G12-S3,场景卡,红,场景组12,爸妈更喜欢他,你觉得爸妈对另一个孩子（兄弟姐妹/亲戚家的）更温柔、更骄傲，那种感觉你说不出口，怕被说小气。,属于反应卡【💢 启动嫉妒反应】,理解陷阱：家长常以为孩子嫉妒的是同学，其实最深的酸往往来自家里
H-G13-R,反应卡,黄,场景组13,🤐 启动隐瞒程序（藏起来、不让大人知道）,代表样本主动选择把某件事捂住、不告诉大人，不是不敢说，而是「这件事我不想让你们知道」。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：隐瞒动机，区别于「焦虑/被发现」的主动选择
H-G13-S1,场景卡,黄,场景组13,怕你们担心,你遇到了一点麻烦（身体不舒服/被欺负/丢了东西），但你不想说，因为你知道说了爸妈会很担心、会大动干戈。,属于反应卡【🤐 启动隐瞒程序】,理解陷阱：家长以为孩子隐瞒是心虚，有时恰恰是孩子在反过来保护父母
H-G13-S2,场景卡,黄,场景组13,这是我的事,有些事你觉得是属于你自己的（喜欢谁/和谁闹了矛盾/日记里写了什么），不是坏事，但你就是不想被大人知道。,属于反应卡【🤐 启动隐瞒程序】,
H-G13-S3,场景卡,黄,场景组13,说了会被骂,你犯了个错或者搞砸了什么，第一反应不是怎么解决，而是怎么不让爸妈发现，因为说了大概率会挨一顿。,属于反应卡【🤐 启动隐瞒程序】,
H-G14-R,反应卡,绿,场景组14,🥹 启动感动反应（鼻子一酸、心里暖、说不出话）,代表样本被某个瞬间击中柔软的地方，不是难过，是一种暖暖的、想哭又很满足的感觉。,先亮出此卡，孩子秘密选下方某个场景，家长猜,新增组：正向·感动，温暖收束的一组
